Category,Exercise,Difficulty,Duration Type,Description
Lower Body,Deep squats (as mobility allows) — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Deep squats (as mobility allows) — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Chair-assisted squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Wall sits,All Levels,minutes,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — slow tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — 3-1-3 tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — pulse reps,All Levels,Reps,"Perform small, controlled movements in a limited range to keep constant tension on the target muscles."
Lower Body,Wall sits — with 2s pause,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — partial range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — bottom-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — top-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — chair-assisted,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Wall sits — wall-supported,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Squat pulses,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulses — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — slow tempo,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — 3-1-3 tempo,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — pulse reps,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — with 2s pause,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — partial range,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — bottom-half range,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — top-half range,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — chair-assisted,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat pulse + hold — wall-supported,All Levels,minutes,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Squat to calf raise — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Calf raises,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — slow tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — 3-1-3 tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — pulse reps,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — with 2s pause,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — partial range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — bottom-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — top-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — chair-assisted,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Calf raises — wall-supported,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — slow tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — 3-1-3 tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — pulse reps,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — with 2s pause,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — partial range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — bottom-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — top-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — chair-assisted,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Single-leg calf raises — wall-supported,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step),All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — slow tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — 3-1-3 tempo,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — pulse reps,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — with 2s pause,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — partial range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — bottom-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — top-half range,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — chair-assisted,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Elevated calf raises (step) — wall-supported,All Levels,Reps,"Stand tall and rise onto the balls of your feet, squeezing your calves at the top before slowly lowering down."
Lower Body,Forward lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — slow tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — 3-1-3 tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — pulse reps,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — with 2s pause,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — partial range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — bottom-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — top-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — chair-assisted,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Forward lunges — wall-supported,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — slow tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — 3-1-3 tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — pulse reps,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — with 2s pause,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — partial range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — bottom-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — top-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — chair-assisted,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Reverse lunges — wall-supported,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — slow tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — 3-1-3 tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — pulse reps,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — with 2s pause,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — partial range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — bottom-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — top-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — chair-assisted,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Alternating reverse lunges — wall-supported,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — slow tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — 3-1-3 tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — pulse reps,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — with 2s pause,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — partial range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — bottom-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — top-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — chair-assisted,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Side lunges — wall-supported,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — slow tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — 3-1-3 tempo,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — pulse reps,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — with 2s pause,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — partial range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — bottom-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — top-half range,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — chair-assisted,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Curtsy lunges — wall-supported,All Levels,Reps,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — slow tempo,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — 3-1-3 tempo,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — pulse reps,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — with 2s pause,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — partial range,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — bottom-half range,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — top-half range,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — chair-assisted,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Walking lunges — wall-supported,All Levels,minutes,"Step forward and bend both knees to about 90 degrees, keeping your torso upright and front knee over your ankle."
Lower Body,Split squats,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Split squats — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step),All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — slow tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — 3-1-3 tempo,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — pulse reps,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — with 2s pause,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — partial range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — bottom-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — top-half range,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — chair-assisted,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Bulgarian split squats (low step) — wall-supported,All Levels,Reps,"Stand with feet shoulder-width apart, lower your hips back and down, keeping your chest up and knees in line with your toes."
Lower Body,Step-ups (low box),All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — slow tempo,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — 3-1-3 tempo,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — pulse reps,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — with 2s pause,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — partial range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — bottom-half range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — top-half range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — chair-assisted,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Step-ups (low box) — wall-supported,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — slow tempo,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — 3-1-3 tempo,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — pulse reps,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — with 2s pause,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — partial range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — bottom-half range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — top-half range,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — chair-assisted,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Lateral step-ups — wall-supported,All Levels,Reps,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Lower Body,Glute bridges,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — slow tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — 3-1-3 tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — pulse reps,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — with 2s pause,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — partial range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — bottom-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — top-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — chair-assisted,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Glute bridges — wall-supported,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — slow tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — 3-1-3 tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — pulse reps,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — with 2s pause,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — partial range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — bottom-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — top-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
